ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location
12678502,JF217317,"01-01-2022 12:00","017XX E 67TH ST",810,THEFT,"OVER $500",APARTMENT,FALSE,FALSE,332,3,5,43,6,1189157,1860906,2022,"11-12-2022 15:46",41.77338193,-87.58214166,"(41.773381931, -87.582141655)"
12586919,JF105719,"01-01-2022 13:20","050XX N CENTRAL PARK AVE",810,THEFT,"OVER $500","VEHICLE NON-COMMERCIAL",FALSE,FALSE,1712,17,39,13,6,1151468,1933510,2022,"11-12-2022 15:46",41.97343566,-87.71839471,"(41.973435659, -87.718394713)"
12583056,JF101593,"01-01-2022 14:00","004XX E 45TH ST",810,THEFT,"OVER $500",STREET,FALSE,FALSE,221,2,3,38,6,1179916,1875274,2022,"11-12-2022 15:46",41.81302554,-87.61557691,"(41.813025544, -87.615576914)"
12584697,JF102948,"01-01-2022 14:00","024XX N Janssen Ave",810,THEFT,"OVER $500","RESIDENCE - GARAGE",FALSE,FALSE,1932,19,2,7,6,1166234,1916208,2022,"11-12-2022 15:46",41.9256545,-87.6645931,"(41.9256545, -87.664593099)"
12582447,JF100657,"01-01-2022 14:47","010XX W LAWRENCE AVE",810,THEFT,"OVER $500",RESTAURANT,FALSE,FALSE,2024,20,46,3,6,1168554,1932051,2022,"11-12-2022 15:46",41.96907838,-87.65560801,"(41.969078381, -87.65560801)"
12582386,JF100734,"01-01-2022 16:30","020XX N CLARK ST",810,THEFT,"OVER $500","VEHICLE NON-COMMERCIAL",FALSE,FALSE,1814,18,43,7,6,1173986,1913691,2022,"10-11-2022 16:45",41.91857831,-87.63618385,"(41.918578314, -87.636183854)"
12582719,JF101066,"01-01-2022 17:00","020XX N KEYSTONE AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,2525,25,26,20,6,1149054,1913168,2022,"11-12-2022 15:46",41.91766278,-87.72780008,"(41.917662775, -87.727800084)"
12582399,JF100762,"01-01-2022 17:15","005XX N MICHIGAN AVE",810,THEFT,"OVER $500","HOTEL / MOTEL",FALSE,FALSE,1834,18,42,8,6,1177347,1903741,2022,"10-11-2022 16:45",41.89119945,-87.62413763,"(41.891199446, -87.624137626)"
12582534,JF100812,"01-01-2022 17:50","026XX W WASHINGTON BLVD",810,THEFT,"OVER $500",STREET,FALSE,FALSE,1222,12,27,28,6,1158925,1900589,2022,"10-11-2022 16:45",41.88294797,-87.69187912,"(41.882947966, -87.691879124)"
12582886,JF101294,"01-01-2022 18:00","012XX W FARWELL AVE",810,THEFT,"OVER $500",STREET,FALSE,FALSE,2431,24,49,1,6,1166571,1945764,2022,"11-12-2022 15:46",42.00675002,-87.66250449,"(42.006750018, -87.662504492)"
